Mapping project name,ESCO to Dutch NOC,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Mapping project author,default-author,,,,,
Mapping project version,,,,,,
Mapping project version date,22-8-2021,,,,,
Classification 1 Name,ESCO mapping,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,1.0.3,,,,,
Classification 1 Language,nl,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Dutch NOC,,,,,
Classification 2 Concept type,occupations,,,,,
Classification 2 Version,21.1,,,,,
Classification 2 Language,nl,,,,,
Classification 2 Landing page,,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/55f6380c-7511-4c33-8fc4-c74f10f524fa,hairdresser assistant,http://data.europa.eu/esco/occupation/55f6380c-7511-4c33-8fc4-c74f10f524fa,1000406298,Salonassistent kapperszaak,,skos:exactMatch
http://data.europa.eu/esco/occupation/bd206ee9-61d6-45de-a369-0c71b8429efa,wig and hairpiece maker,http://data.europa.eu/esco/occupation/bd206ee9-61d6-45de-a369-0c71b8429efa,5271,Haarwerkspecialist,,skos:broadMatch
http://data.europa.eu/esco/occupation/33e3a746-f209-4a1a-96df-301505531cb2,beauty salon manager,http://data.europa.eu/esco/occupation/33e3a746-f209-4a1a-96df-301505531cb2,1000406367,Bedrijfsleider / ondernemer schoonheidssalon,,skos:exactMatch
http://data.europa.eu/esco/occupation/a1e1a788-2352-4172-8fcf-1f985a6968b0,aesthetician,http://data.europa.eu/esco/occupation/a1e1a788-2352-4172-8fcf-1f985a6968b0,14338,Visagist,,skos:narrowMatch
http://data.europa.eu/esco/occupation/2d5a50c6-0bf4-45c3-805c-44d1bf1e3d12,spa attendant,http://data.europa.eu/esco/occupation/2d5a50c6-0bf4-45c3-805c-44d1bf1e3d12,11796,Saunamedewerker,,skos:narrowMatch
http://data.europa.eu/esco/occupation/be375e11-9a70-47cb-8091-711c94ed0c13,tanning consultant,http://data.europa.eu/esco/occupation/be375e11-9a70-47cb-8091-711c94ed0c13,1000400196,Zonneconsulent,,skos:exactMatch
http://data.europa.eu/esco/occupation/763f82c2-81e3-48d2-9cdf-f532b5016a1f,weight loss consultant,http://data.europa.eu/esco/occupation/763f82c2-81e3-48d2-9cdf-f532b5016a1f,1000408742,Afslankconsulent,,skos:exactMatch
http://data.europa.eu/esco/occupation/763f82c2-81e3-48d2-9cdf-f532b5016a1f,weight loss consultant,http://data.europa.eu/esco/occupation/763f82c2-81e3-48d2-9cdf-f532b5016a1f,1000413908,Lifestyle coach,,skos:broadMatch
http://data.europa.eu/esco/occupation/bced9b86-d4e7-42f8-bb47-acb2001b9bd0,manicurist,http://data.europa.eu/esco/occupation/bced9b86-d4e7-42f8-bb47-acb2001b9bd0,8423,Manicure,,skos:exactMatch
http://data.europa.eu/esco/occupation/489b9a38-89a2-425c-95b9-79cec66379e1,pedicurist,http://data.europa.eu/esco/occupation/489b9a38-89a2-425c-95b9-79cec66379e1,10752,Voetverzorger,,skos:exactMatch
http://data.europa.eu/esco/occupation/d5ce0c23-6f8a-459f-9bf9-a7cb9768740a,personal stylist,http://data.europa.eu/esco/occupation/d5ce0c23-6f8a-459f-9bf9-a7cb9768740a,1000407228,Imagostylist,,skos:exactMatch
http://data.europa.eu/esco/occupation/bcc2c1db-f969-4355-bebf-4878ff6c2a94,service manager,http://data.europa.eu/esco/occupation/bcc2c1db-f969-4355-bebf-4878ff6c2a94,1000402684,Bedrijfsleider / ondernemer schoonmaakbedrijf,,skos:narrowMatch
http://data.europa.eu/esco/occupation/bcc2c1db-f969-4355-bebf-4878ff6c2a94,service manager,http://data.europa.eu/esco/occupation/bcc2c1db-f969-4355-bebf-4878ff6c2a94,11428,Rayonleider schoonmaak,,skos:narrowMatch
